,name_last,name_first,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last,name
1314,williams,trevor,592866,willt002,willitr01,16977,2016.0,2022.0,trevor williams-592866
1315,wilson,bryse,669060,wilsb003,wilsobr02,19990,2018.0,2022.0,bryse wilson-669060
1316,wilson,justin,458677,wilsj004,wilsoju10,4301,2012.0,2022.0,justin wilson-458677
1317,wilson,marcus,657129,wilsm003,wilsoma02,17910,2022.0,2022.0,marcus wilson-657129
1318,wilson,steven,621051,wilss002,wilsost02,20353,2022.0,2022.0,steven wilson-621051
1319,winckowski,josh,670174,wincj001,winckjo01,22387,2022.0,2022.0,josh winckowski-670174
1320,winder,josh,680739,windj002,windejo01,24606,2022.0,2022.0,josh winder-680739
1321,winker,jesse,608385,winkj002,winkeje01,13590,2017.0,2022.0,jesse winker-608385
1322,wisdom,patrick,621550,wisdp001,wisdopa01,13602,2018.0,2022.0,patrick wisdom-621550
1323,wisler,matt,605538,wislm001,wislema01,12804,2015.0,2022.0,matt wisler-605538
1324,witt,bobby,677951,wittb002,wittbo02,25764,2022.0,2022.0,bobby witt-677951
1325,wittgren,nick,621295,wittn001,wittgni01,15594,2016.0,2022.0,nick wittgren-621295
1326,wong,connor,657136,wongc001,wongco01,19896,2021.0,2022.0,connor wong-657136
1327,wong,kolten,543939,wongk001,wongko01,12532,2013.0,2022.0,kolten wong-543939
1328,wood,alex,622072,wooda002,woodal02,13781,2013.0,2022.0,alex wood-622072
1329,woodford,jake,663765,woodj003,woodfja01,18674,2020.0,2022.0,jake woodford-663765
1330,woodruff,brandon,605540,woodb005,woodrbr01,16162,2017.0,2022.0,brandon woodruff-605540
1331,woods,william,682016,woodw001,woodswi02,25075,2022.0,2022.0,william woods-682016
1332,wright,kyle,657140,wrigk001,wrighky01,19665,2018.0,2022.0,kyle wright-657140
1333,wynns,austin,642851,wynna001,wynnsau01,15271,2018.0,2022.0,austin wynns-642851
1334,yacabonis,jimmy,642231,yacaj001,yacabji01,15157,2017.0,2022.0,jimmy yacabonis-642231
1335,yajure,miguel,664337,yajum001,yajurmi01,21111,2020.0,2022.0,miguel yajure-664337
1336,yarbrough,ryan,642232,yarbr001,yarbrry01,16502,2018.0,2022.0,ryan yarbrough-642232
1337,yastrzemski,mike,573262,yastm001,yastrmi01,14854,2019.0,2022.0,mike yastrzemski-573262
